Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,,,,,,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: year=2011-2023; GHGs=ALL; data type=All Direct Emitters; ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACILITY,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,SUBPARTS,"TOTAL REPORTED EMISSIONS, 2011","TOTAL REPORTED EMISSIONS, 2012","TOTAL REPORTED EMISSIONS, 2013","TOTAL REPORTED EMISSIONS, 2014","TOTAL REPORTED EMISSIONS, 2015","TOTAL REPORTED EMISSIONS, 2016","TOTAL REPORTED EMISSIONS, 2017","TOTAL REPORTED EMISSIONS, 2018","TOTAL REPORTED EMISSIONS, 2019","TOTAL REPORTED EMISSIONS, 2020","TOTAL REPORTED EMISSIONS, 2021","TOTAL REPORTED EMISSIONS, 2022","TOTAL REPORTED EMISSIONS, 2023",CHANGE IN EMISSIONS (2022 TO 2023),CHANGE IN EMISSIONS (2011 TO 2023),SECTORS,
"GP Big Island, LLC",1000273,9363 Lee Jackson Hwy,37.534,-79.357,BIG ISLAND,Bedford,VA,24526,KOCH INDUSTRIES INC (100%),"AA,C,TT","237,108","198,305","203,687","213,400","212,647","214,324","215,058","211,386","243,222","227,447","221,090","222,898","233,196","10,298","3,911","Pulp and Paper, Waste",
GP Condensate Splitter,1011719,407 Clinton Drive,29.732598,-95.220457,Galena Park,HARRIS COUNTY,TX,77547,KINDER MORGAN INC (100%),"C,MM,Y",0,0,0,67,"88,754","136,646","146,968","159,053","184,566","172,768","171,617","198,733","173,227","25,506",0,Refineries,
GP MUSKOGEE MILL,1001913,4901 CHANDLER RD.,35.740513,-95.29743,MUSKOGEE,MUSKOGEE COUNTY,OK,74403,KOCH INDUSTRIES INC (100%),"C,TT","1,120,557","1,069,409","1,023,954","1,015,977",0,0,0,0,0,0,0,0,0,0,0,"Pulp and Paper, Waste",
GPI Midwest - White Pigeon,1004553,15781 River Street,41.7887,-85.647,White Pigeon,ST. JOSEPH COUNTY,MI,49099,OX PAPERBOARD LLC (100%),C,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,Pulp and Paper,
GPLC JOLIET SALES,1003995,,41.4504,-88.1833,Joliet,WILL COUNTY,IL,60410,ONEOK INC (100%),"C,W",0,0,0,"25,257","31,622","22,716","17,836","18,584","23,194","19,259",0,"27,636","21,725","5,911",0,Petroleum and Natural Gas Systems,
GRACE,1006046,5500 CHEMICAL ROAD,39.21244,-76.56816,BALTIMORE,BALTIMORE CITY,MD,21226,WR GRACE & CO (100%),C,"98,125","98,074","119,481","137,220","103,241","94,151","101,717","102,757","115,982","92,067","92,765","114,531","109,752","4,779","11,627",Chemicals,
GRACE DAVISON,1003857,1800 DAVISON ROAD,30.156194,-93.339443,SULPHUR,CALCASIEU PARISH,LA,70665,WR GRACE & CO (100%),C,"135,299","137,021","133,492","127,959","131,988","129,132","132,274","134,749","137,610","117,026","151,066","149,863","156,017","6,154","20,718",Chemicals,
GRAIN PROCESSING CORP,1004114,1600 OREGON STREET,41.3981,-91.0611,MUSCATINE,MUSCATINE COUNTY,IA,52761,KENT CORP (100%),"C,II,PP","1,078,958","476,447","622,513","698,442","463,646","306,560","391,321","401,252","313,576","342,975","346,155","341,010","464,185","123,175","614,773","Other, Waste",
GRAIN PROCESSING CORP,1004640,1443 S 300 W,38.6335,-87.2262,WASHINGTON,DAVIESS COUNTY,IN,47501,KENT CORP (100%),"C,II,PP","174,395","166,658","212,927","220,110","211,361","215,375","226,231","232,259","232,509","241,678","243,881","231,455","229,633","1,822","55,238","Other, Waste",
GRANBY SANITARY LANDFILL,1007685,11 NEW LUDLOW ROAD,42.22128,-72.54598,GRANBY,HAMPSHIRE COUNTY,MA,1033,WASTE MANAGEMENT INC (100%),HH,"18,050","16,358","8,525","4,797","5,749","3,361","3,394","1,904","1,177","2,459","1,589","4,732","1,138","3,594","16,912",Waste,
GRAND CTL SANI,1003460,1963 PEN ARGYL ROAD,40.853502,-75.257496,PEN ARGYL,NORTHAMPTON COUNTY,PA,18072,WASTE MANAGEMENT INC (100%),"C,HH","43,727","36,609","29,949","20,226","25,160","22,438","22,221","23,697","27,229","26,304","32,084","40,129","51,453","11,325","7,727",Waste,
GRAND FORKS LANDFILL,1004044,2350 83RD ST NORTH,47.897381,-97.15332,GRAND FORKS,GRAND FORKS COUNTY,ND,58206,CITY OF GRAND FORKS NORTH DAKOTA (100%),"C,HH","83,708","81,058","65,131","62,712","60,320","58,106","55,932","53,905","51,819","43,004","41,368","39,863","38,365","1,498","45,343",Waste,
GRANGER Grand River Avenue Landfill,1002720,8550 W GRAND RIVER AVE,42.789248,-84.691393,GRAND LEDGE,CLINTON COUNTY,MI,48837,GRANGER ASSOCIATES INC (100%),"C,HH","32,489","101,736","101,274","115,533","105,375","99,342","114,116","104,052","107,623","105,194","105,901","99,481","128,214","28,733","95,725",Waste,
GRANGER Wood Street Landfill,1006737,16980 Wood Road,42.770107,-84.523758,LANSING,CLINTON COUNTY,MI,48906,GRANGER ASSOCIATES INC (100%),"C,HH","76,615","163,212","130,121","112,002","105,607","92,210","108,427","108,509","95,549","109,310","53,818","105,669","76,535","29,134",80,Waste,
GRANITE FALLS ENERGY LLC,1002173,15045 HIGHWAY 23 SE,44.7999,-95.4869,GRANITE FALLS,CHIPPEWA COUNTY,MN,56241,GRANITE FALLS ENERGY LLC (100%),C,"75,725","81,939","82,881","81,544","80,522","80,342","80,984","80,443","80,250","66,365","79,275","80,237","80,143",94,"4,417","Other, Waste",
GRANT CNTY EPHRATA LANDFILL 1,1007160,3803 Neva Lake Rd. NW,47.26597,-119.55494,EPHRATA,GRANT COUNTY,WA,98823,GRANT COUNTY WASHINGTON (100%),HH,"34,899","36,858","38,883","38,613","40,606","42,711","44,881","47,089","49,368","51,556","45,269","44,946","41,759","3,187","6,860",Waste,
GRANT PRIDECO LP,1006346,FM 1227 10FT AWAY,30.362221,-96.08889,NAVASOTA,GRIMES COUNTY,TX,77868,NATIONAL OILWELL VARCO LP (100%),,0,"29,121","26,302","27,161","17,606","9,907","10,062","7,411",0,0,0,0,0,0,0,Other,
GRAPELAND PLANT,1003219,2415 FM 1272,31.512127,-95.52634,GRAPELAND,HOUSTON COUNTY,TX,75844,M6 Midstream LLC (100%),"C,W",0,0,0,0,0,0,"12,056","5,577","15,899","13,761","83,928","88,609","143,090","54,481",0,Petroleum and Natural Gas Systems,
GRAPHIC PACKAGING INT INC,1004982,407 CHARLES ST.,39.51827,-84.390926,MIDDLETOWN,BUTLER COUNTY,OH,45042,GRAPHIC PACKAGING HOLDING CO (100%),C,"46,289","48,621","41,384","41,322","40,086","42,021","43,558","45,402","44,907","46,414","47,371","44,631","41,905","2,726","4,384",Pulp and Paper,
GRAPHIC PACKAGING INTERNATIONAL,1003470,100 GRAPHIC PACKAGING INTERNATIONAL WAY,32.7718,-83.6275,MACON,BIBB COUNTY,GA,31206,GRAPHIC PACKAGING HOLDING CO (100%),"AA,C,TT","218,484","183,856","145,073","114,014","107,910","107,910","110,333","108,639","109,043","98,598","103,085","115,262","135,245","19,983","83,239","Pulp and Paper, Waste",
"GRAPHIC PACKAGING INTERNATIONAL LLC, West Monroe Mill Plant 31",1000602,1000 JONESBORO RD HWY 34,32.486859,-92.151686,WEST MONROE,OUACHITA PARISH,LA,71292,GRAPHIC PACKAGING HOLDING CO (100%),"AA,C","237,598","249,196","241,902","257,958","263,375","393,172","373,727","395,430","413,133","417,349","356,209","375,386","356,946","18,440","119,348",Pulp and Paper,
GRAY WOLF REGIONAL LANDFILL,1007862,23355 EAST HIGHWAY 169,34.520834,-112.004167,DEWEY,YAVAPAI COUNTY,AZ,86327,WASTE MANAGEMENT INC (100%),"C,HH","90,237","71,312","73,512","75,891","78,403","67,209","68,369","69,931","71,379","72,910","74,495","77,065","30,520","46,545","59,717",Waste,
GRAYMONT (WI) LLC,1002919,800 Hill Avenue,46.72901,-92.0776,SUPERIOR,DOUGLAS COUNTY,WI,54880,GRAYMONT INC (100%),"C,S","528,938","534,447","532,159","569,180","562,054","577,138","662,490","597,021","507,132","462,249","462,602","468,104","521,551","53,447","7,388",Minerals,
GRAYMONT DOLIME OH INC *,1002767,21880 W ST RTE 163,41.50945,-83.35028,GENOA,OTTAWA COUNTY,OH,43430,GRAYMONT INC (100%),"C,S","194,487","193,028","202,137","196,046","207,111","205,706","195,975","167,769","188,879","180,453","189,881","165,113","156,482","8,631","38,006",Minerals,
GRAYMONT PA INC/PLEASANT GAP PLT,1002910,965 E COLLEGE AVE,40.924063,-77.722316,PLEASANT GAP,CENTRE COUNTY,PA,16823,GRAYMONT INC (100%),"C,S","797,430","775,065","709,020","767,621","724,888","723,517","764,847","784,999","891,562","768,250","834,879","767,787","742,587","25,200","54,843",Minerals,
GRAYMONT WESTERN U.S. INC. INDIAN CREEK,1002773,4.5 MILES W. OF TOWNSEND,46.326389,-111.616666,TOWNSEND,BROADWATER COUNTY,MT,59644,GRAYMONT INC (100%),"C,S","250,260","231,400","214,297","261,404","342,287","318,749","335,805","266,246","322,197","304,550","320,028","318,796","276,271","42,525","26,011",Minerals,
GRAYMONT WESTERN US INC,1002920,1220 ALEXANDER AVENUE,47.271365,-122.397262,TACOMA,PIERCE COUNTY,WA,98421,Graymont Inc (100%),,"105,681","86,850","92,862","105,825","76,402","42,728",23,22,22,0,0,0,0,0,0,Minerals,
GRAYMONT WESTERN US INC PILOT PEAK,1005828,15 MILES N.W. OF WENDOVER NV,40.82126,-114.250199,WEST WENDOVER,ELKO COUNTY,NV,89883,GRAYMONT INC (100%),"C,S","722,287","712,850","752,908","714,616","624,578","580,166","593,672","608,917","655,862","640,224","573,310","475,637","504,922","29,285","217,364",Minerals,
GRAYMONT WESTERN US INC. CRICKET MOUNTAIN,1002928,32 MILES S.W. OF DELTA HWY. 257,38.938951,-112.816647,DELTA,MILLARD COUNTY,UT,84624,GRAYMONT INC (100%),"C,S","905,802","887,224","1,123,413","954,659","862,731","766,231","880,876","839,534","855,094","682,598","693,062","732,333","785,085","52,752","120,716",Minerals,
GREAT LAKES CHEMICAL CORP-WEST PLANT,1008038,5821 SHULER ROAD,33.18557,-92.704483,MARYSVILLE,UNION COUNTY,AR,71730,LANXESS CORP (100%),C,"27,156","26,017","22,385",0,0,0,0,0,0,0,0,0,0,0,0,Chemicals,
GREAT LAKES CHEMICAL/CENTRAL,1006968,2226 HAYNESVILLE HIGHWAY,33.1831,-92.7069,EL DORADO,UNION COUNTY,AR,71730,LANXESS CORP (100%),C,"47,817","46,193","59,720",0,0,0,0,0,0,0,0,0,0,0,0,Chemicals,
GREAT LAKES SOUTH,1008036,324 SOUTHFIELD CUTOFF,33.110306,-92.672944,EL DORADO,UNION COUNTY,AR,71730,LANXESS CORP (100%),C,"51,651","45,704","41,260",0,0,0,0,0,0,0,0,0,0,0,0,Chemicals,
GREAT RIVER REGIONAL WASTE AUTHORITY SANITARY LANDFILL,1006153,2092 303RD AVE,40.654022,-91.316354,FORT MADISON,LEE COUNTY,IA,52627,GREAT RIVER REGIONAL WASTE AUTHORITY (100%),"C,HH","46,076","47,676","41,546","42,900","43,909","45,330","46,737","47,735","48,750","50,253","51,510","52,824","54,367","1,543","8,291",Waste,
GREATER LEBANON REFUSE LDFL,1002786,1610 RUSSELL ROAD,40.36323,-76.49439,LEBANON,LEBANON COUNTY,PA,17046,GREATER LEBANON REFUSE AUTHORITY (100%),"C,HH","28,184","25,830","26,043","29,810","48,025","61,624","60,732","71,394","65,600","71,855","11,262","10,954","11,616",662,"16,567",Waste,
GREDE LLC - IRON MOUNTAIN,1007223,801 S. CARPENTER AVE.,45.799405,-88.070937,KINGSFORD,DICKINSON COUNTY,MI,49802,ASP GREDE ACQUISITIONCO LLC (100%),C,"31,673","31,347","26,380","28,218","25,915","22,981","29,421","30,852","23,599","15,839","20,881","16,512","15,944",568,"15,729",Metals,
GREDE LLC REEDSBURG,1002034,700 ASH STREET,43.528049,-89.9996,REEDSBURG,SAUK COUNTY,WI,53959,ASP GREDE ACQUISITIONCO LLC (100%),C,"93,054","66,920","68,805","74,117","76,709","69,472","76,455","67,298","60,192","43,134","49,264","55,338","59,648","4,310","33,406","Other, Metals",
GREELEY GAS PLANT,1006310,3009 WEST 49TH STREET,40.364235,-104.730316,GREELEY,WELD COUNTY,CO,80634,PHILLIPS 66 (86.8%); ENBRIDGE (US) INC (13.2%),"C,NN,W","47,770","38,986","38,778","37,492","40,698","38,634","40,228","41,126","47,939","43,312","41,955","39,414","34,967","4,447","12,803",Petroleum and Natural Gas Systems,
GREEN BAY PACKAGING INC MILL DIVISION,1001825,1601 NORTH QUINCY STREET,44.52666,-87.99876,GREEN BAY,BROWN COUNTY,WI,54302,GREEN BAY PACKAGING INC (100%),C,"100,455","85,432","75,490","80,915","75,865","73,648","92,300","88,265","85,106","65,973","102,739","110,207","120,354","10,147","19,898",Pulp and Paper,
GREEN BAY PACKAGING/ARK KRAFT,1002098,338 HIGHWAY 113 SOUTH,35.097355,-92.73854,MORRILTON,CONWAY COUNTY,AR,72110,GREEN BAY PACKAGING INC (100%),"AA,C,TT","149,928","153,108","127,154","133,804","140,886","145,480","146,057","157,745","162,881","160,805","172,649","173,683","174,442",759,"24,513","Pulp and Paper, Waste",
GREEN LAKE PLANT,1003899,13050 State Highway 185N,28.428074,-96.498997,PORT LAVACA,CALHOUN COUNTY,TX,77979,INEOS USA LLC (100%),"C,X","278,115","325,422","169,421","234,987","214,146","207,179","240,188","370,823","240,401","361,248","385,660","285,940","325,990","40,050","47,874",Chemicals,
"GREEN PLAINS BLUFFTON, LLC",1005791,1441 S ADAMS ST,40.722139,-85.193722,BLUFFTON,WELLS COUNTY,IN,46714,VALERO ENERGY CORP (100%),C,"171,675","159,226",0,0,0,0,0,0,0,0,0,0,0,0,0,"Other, Waste",
GREEN PLAINS CENTRAL CITY LLC,1000344,214 20TH ST,41.1111,-97.9727,CENTRAL CITY,MERRICK COUNTY,NE,68826,GREEN PLAINS INC (100%),C,"122,641","126,853","126,531","126,409","121,624","121,964","124,456","126,151","126,511","118,270","126,357","135,777","149,930","14,152","27,289","Other, Waste",
GREEN PLAINS OBION LLC,1006364,2098 MCDONALD RD,36.28305,-89.147607,RIVES,OBION COUNTY,TN,38253,GREEN PLAINS INC (100%),C,"176,574","174,670","173,057","172,310","165,954","169,819","168,671","164,776","162,800","163,712","165,200","158,968","152,667","6,301","23,907","Other, Waste",
GREEN PLAINS ORD LLC,1005812,48267 VAL-E ROAD,41.5701,-98.821,ORD,VALLEY COUNTY,NE,68862,PILOT CORP (100%),C,"79,426","78,863","81,793","84,284",0,0,0,0,0,0,0,0,0,0,0,"Other, Waste",
GREEN PLAINS OTTER TAIL LLC,1004731,24096 170TH AVENUE,46.31158,-96.13374,FERGUS FALLS,OTTER TAIL COUNTY,MN,56537,GREEN PLAINS INC (100%),C,"95,913","82,464","86,319","67,768","83,974","86,639","89,710","81,623","78,194","72,575","77,180","87,505","87,261",244,"8,651",Other,
GREEN PLAINS SHENANDOAH LLC,1004332,4124 AIRPORT RD,40.7549,-95.3953,SHENANDOAH,FREMONT COUNTY,IA,51601,GREEN PLAINS INC (100%),C,"91,914","81,323","84,974","90,003","91,210","89,811","92,460","96,606","91,436","92,782","95,967","99,717","101,170","1,453","9,257","Other, Waste",
GREEN PLAINS SUPERIOR LLC,1004331,1495 320TH AVE,43.433379,-94.954221,SUPERIOR,DICKINSON COUNTY,IA,51363,GREEN PLAINS INC (100%),C,"87,002","63,670","59,569","71,476","67,869","77,006","67,944","54,359","67,635","62,639","68,191","75,746","75,855",110,"11,147",Other,
GREEN VALLEY CHEMICAL CORP,1002790,1284 N CHERRY ST,41.070867,-94.356733,CRESTON,UNION COUNTY,IA,50801,GREEN VALLEY CHEMICAL CORP (100%),"C,G","30,836","34,915","60,038","37,483","25,605","49,336","64,801","59,072","47,627","69,125","64,812","57,520","65,745","8,226","34,909",Chemicals,
GREEN VALLEY LANDFILL,1004483,100 ADDINGTON RD,38.394998,-82.800576,ASHLAND,BOYD COUNTY,KY,41102,REPUBLIC SERVICES INC (100%),"C,HH","62,556","46,251","36,449","30,002","30,403","28,484","32,302","31,634","34,354","37,171","38,898","42,520","35,038","7,482","27,518",Waste,
GREENRIDGE RECLAMATION Landfill,1007925,234 LANDFILL RD,40.129795,-79.582262,SCOTTDALE,WESTMORELAND COUNTY,PA,15683,REPUBLIC SERVICES INC (100%),"C,HH","71,568","57,450","58,537","38,461","46,521","42,344","27,839","37,580","50,060","39,074","39,948","38,957","33,693","5,265","37,875",Waste,
GREENWOOD FARMS LANDFILL,1005895,12920 FM 2767,32.37343,-95.18784,TYLER,SMITH COUNTY,TX,75708,CITY OF TYLER (100%),HH,"48,435","47,005","48,805","75,540","95,771","52,447","51,798","53,383","46,054","60,097","64,183","57,393","59,556","2,163","11,121",Waste,
GREGORY GAS PLANT,1004851,,27.94006,-97.262561,GREGORY,SAN PATRICIO,TX,78359,SOUTHCROSS ENERGY (100%),,"103,358","67,578","87,357","235,072","54,697",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GREIF RIVERVILLE LLC,1003943,861 Fibre Plant Road,37.509849,-78.910831,Riverville,AMHERST COUNTY,VA,24553,GREIF INC (100%),"AA,C,TT","131,734","129,872","126,093","133,608","109,567","125,773","129,313","149,497","140,131","161,147","161,885","168,780","162,501","6,279","30,767","Pulp and Paper, Waste",
GREY RANCH TREATING PLANT,1004294,,30.5541,-102.4411,FORT STOCKTON,Pecos,TX,79735,"SANDRIDGE ENERGY, INC (100%);",,"156,182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GRG - EAST MAMM CREEK CS,1003630,,39.4894897,-107.7232517,"RIFLE, 2.0 MI SE OF",GARFIELD,CO,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%),,"39,849","40,341","34,828","35,415","28,886",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GRG - HIGH MESA CS,1006331,,39.395581,-108.0590714,PARACHUTE,GARFIELD,CO,81635,SUMMIT MIDSTREAM PARTNERS LLC (100%),,"22,815","35,928","24,578","26,071","26,475",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GRG - HUNTER MESA CS,1006001,,39.4686107,-107.7153515,"RIFLE, 3.3 MI SE OF",GARFIELD,CO,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%),,"44,114","43,741","41,011","37,777","33,020",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GRG - MAMM CREEK CS,1006003,,39.4894897,-107.7232517,RIFLE,GARFIELD,CO,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%),,"28,209","22,908","17,260","20,130","15,198",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GRG - PUMBA CS,1006004,,39.4649163,-107.7564733,"RIFLE, 3.6 MI S OF",GARFIELD,CO,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%),,"41,590","38,887","38,349","36,647","30,801",0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GRIFFIN PIPE PRODUCTS CO,1003290,2601 9TH AVENUE,41.252937,-95.886225,COUNCIL BLUFFS,POTTAWATTAMIE COUNTY,IA,51501,FORTERRA INC (100%),,"60,417","61,287","56,188","12,949","1,642",683,683,0,0,0,0,0,0,0,0,Metals,
GRIFFIN PIPE PRODUCTS COMPANY - LYNCHBURG,1003289,10 ADAMS STREET - UPPER BASIN,37.420815,-79.140968,LYNCHBURG,LYNCHBURG CITY,VA,24505,QUIKRETE (100%),C,"42,729","48,253","54,413","57,509","59,843","65,277","71,141","79,548","49,638","71,062","74,203","71,062","68,595","2,467","25,866",Metals,
GRIMES COUNTY CMP STN,1005722,,30.5717,-95.9921,ROANS PRAIRIE,GRIMES COUNTY,TX,77875,ENERGY TRANSFER LP (100%),"C,W","112,688","80,920","62,092","48,540","45,737","63,621","50,959","46,110","51,911","57,255","50,604","48,650","36,650","12,000","76,038",Petroleum and Natural Gas Systems,
GROWS LDFL WASTE MGMT,1007615,1513 BORDENTOWN ROAD,40.159344,-74.776695,MORRISVILLE,BUCKS COUNTY,PA,19067,WASTE MANAGEMENT INC (100%),"C,HH","102,401","115,025","93,913","96,731","77,441","90,295","86,203","89,829","109,430","143,155","182,004","133,235","137,859","4,624","35,458",Waste,
GSA Central Heating,1000088,325 13th STREETS SOUTHWEST,38.8856,-77.0244,WASHINGTON,,DC,20407,US GOVERNMENT (%),C,"153,097","147,638","144,230","164,572","138,974","130,432","126,508","145,321","130,350","124,490","125,047","110,555","114,503","3,948","38,594",Power Plants,
"GSK, INC.",1007998,1011 NORTH ARENDELL AVENUE,35.832054,-78.319739,ZEBULON,WAKE COUNTY,NC,27597,GLAXOSMITHKLINE SL HOLDINGS INC (100%),"C,OO","6,405","6,086",11,251,"6,785","7,045","7,136","8,167","9,137","8,638","8,130","8,524","8,130",395,"1,725",Chemicals,
GTK 345 Arkoma,1008518,600 North Marienfeld Street Suite 301,32.00317,-102.07883,Midland,MIDLAND COUNTY,TX,79701,"Trey Resources, Inc. (100%);",,"1,724","1,723",0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GUAM POWER AUTHORITY - CABRAS POWER PLANT,1007221,322 CABRAS HIGHWAY,13.464516,144.657067,PITI,GUAM,GU,96915,GUAM POWER AUTHORITY (100%),C,"747,892","588,734","598,419","736,847","684,249","545,923","578,128","552,518","626,919","616,376","588,171","509,941","393,807","116,133","354,084",Power Plants,
GUARDIAN ENERGY LLC,1000872,4745 380TH AVE,44.111944,-93.678611,JANESVILLE,WASECA COUNTY,MN,56048,GUARDIAN ENERGY LLC (100%),C,"167,459","167,864","177,851","166,273","180,469","182,242","187,321","186,011","178,727","158,736","184,559","185,667","184,615","1,052","17,156","Other, Waste",
GUARDIAN INDUSTRIES - Corsicana,1002770,3801 S. HWY. 287,32.064167,-96.426939,CORSICANA,NAVARRO COUNTY,TX,75110,KOCH INDUSTRIES INC (100%),"C,N","106,198","107,219","108,959","108,202","110,921","112,201","112,693","116,794","115,726","114,842","116,638","115,484","102,655","12,829","3,543",Minerals,
GUARDIAN INDUSTRIES - DeWitt,1002864,300 SOUTH 5TH AVENUE EAST,41.81333,-90.52444,DEWITT,CLINTON COUNTY,IA,52742,KOCH INDUSTRIES INC (100%),"C,N","118,278","120,491","119,913","117,378","114,681","114,772","41,382","120,089","117,525","112,967","120,717","115,785","98,146","17,639","20,132",Minerals,
GUARDIAN INDUSTRIES CARLETON FACILITY,1002905,14600 ROMINE ROAD,42.08986,-83.36204,CARLETON,MONROE COUNTY,MI,48117,KOCH INDUSTRIES INC (100%),"C,N","180,242","172,931","170,577","156,657","175,842","151,647","152,369","157,167","152,443","154,783","153,814","160,369","144,571","15,799","35,672",Minerals,
GUARDIAN INDUSTRIES CORP - FLOREFFE PLANT,1002921,1000 GLASSHOUSE ROAD,40.254237,-79.916438,Jefferson Hills,ALLEGHENY,PA,15025,GUARDIAN INDUSTRIES CORP (100%),,"59,173","57,637","63,163","68,816","40,158",0,0,0,0,0,0,0,0,0,0,Minerals,
GUARDIAN INDUSTRIES LLC,1002160,50 FORGE AVE,42.88261,-76.97223,GENEVA,ONTARIO COUNTY,NY,14456,KOCH INDUSTRIES INC (100%),"C,N","140,496","142,015","133,326","136,448","138,710","140,136","139,846","94,019","110,776","105,690","116,256","114,133","100,892","13,241","39,605",Minerals,
GUARDIAN INDUSTRIES LLC - KINGSBURG,1007904,11535 EAST MOUNTAINVIEW AVENUE,36.49031,-119.533971,KINGSBURG,TULARE COUNTY,CA,93631,KOCH INDUSTRIES INC (100%),"C,N","115,254","116,059","114,896","120,235","122,718","121,367","124,020","120,426","116,900","117,047","122,312","120,985","98,649","22,336","16,605",Minerals,
GUARDIAN INDUSTRIES LLC - RICHBURG,1002924,610 L AND C RAILWAY DIST PARK STATE HIGHWAY 9,34.68462,-81.009206,RICHBURG,CHESTER COUNTY,SC,29729,KOCH INDUSTRIES INC (100%),"C,N","121,915","123,396","130,864","130,929","130,735","128,813","126,785","132,582","127,773","121,454","129,171","132,788","110,355","22,432","11,560",Minerals,
GULF COAST BASIN,1010222,"1201 LOUISIANA, SUITE 1400",29.7568,-95.36891,HOUSTON,,TX,77002,HILCORP ENERGY CO (100%),W,"29,952","38,809","52,719","193,830","961,543","1,109,795","1,418,323","1,233,584","1,238,843","1,228,151","676,285","672,852","688,048","15,196","658,096",Petroleum and Natural Gas Systems,
GULF PINES LANDFILL,1006117,14543 HUDSON KROHN RD,30.497528,-88.942694,BILOXI,HARRISON COUNTY,MS,39532,REPUBLIC SERVICES INC (100%),,"3,138","2,493","2,333","1,602","2,687","2,125",657,473,556,581,"1,549",0,0,0,0,Waste,
GULF PLAINS GAS PLANT,1002290,7226 COUNTY ROAD 16,27.6871,-97.9021,BISHOP,NUECES COUNTY,TX,78343,DCP MIDSTREAM LP (100%),,"115,135","153,031","144,561","124,224","108,088","112,970","119,587","117,263","125,026","128,879",0,0,0,0,0,Petroleum and Natural Gas Systems,
GULFPORT ENERGY CORP/W COTE BLANCHE BAY C B,1007462,197 Ivanhoe Texaco Lane,29.784471,-91.73295,Franklin,ST. MARY PARISH,LA,70538,PEL GULF COAST LLC (100%),"C,W","50,683","50,611",0,0,0,0,0,0,0,0,0,0,0,0,0,Petroleum and Natural Gas Systems,
GULFSTREAM STATION 410 (a.k.a. STATION 100),1008037,6301 ROCK ROAD,30.395809,-88.189978,CODEN,MOBILE COUNTY,AL,36523,SPECTRA ENERGY LLC (50%); THE WILLIAMS COS INC (50%),"C,W","291,088","272,752","262,391","253,781","264,205","264,663","256,131","266,644","256,142","265,983","250,754","243,388","254,121","10,733","36,967",Petroleum and Natural Gas Systems,
GULFSTREAM STATION 420,1007080,4610 BUCKEYE ROAD,27.624632,-82.517031,PALMETTO,MANATEE COUNTY,FL,34221,SPECTRA ENERGY LLC (50%); THE WILLIAMS COS INC (50%),"C,W","50,340","46,822","49,948","50,014","49,256","62,524","44,396","51,319","47,330","50,989","37,823","43,119","51,030","7,911",690,Petroleum and Natural Gas Systems,
"GWF POWER SYSTEMS, L.P. (SITE 3)",1003663,1900 WILBUR AVENUE,38.01172,-121.78098,ANTIOCH,CONTRA COSTA COUNTY,CA,94509,"GWF Power Systems, L.P. (100%);",,"182,473","20,196",0,0,0,0,0,0,0,0,0,0,0,0,0,Power Plants,
"GWF POWER SYSTEMS, L.P. (SITE 4)",1003618,3400 WILBUR AVENUE,38.0083802,-121.7993168,ANTIOCH,CONTRA COSTA COUNTY,CA,94509,"GWF Power Systems, L.P. (100%);",,"189,380","24,564",0,0,0,0,0,0,0,0,0,0,0,0,0,Power Plants,
"GWF POWER SYSTEMS, L.P. (SITE 5)",1003662,555 NICHOLS ROAD,38.04351,-121.98739,Bay Point,CONTRA COSTA COUNTY,CA,94565,"GWF Power Sytems, L.P. (100%);",,"189,969","24,314",0,0,0,0,0,0,0,0,0,0,0,0,0,Power Plants,
"GWF POWER SYSTEMS, L.P. (Site 1)",1003641,895 EAST THIRD STREET,38.03056,-121.86995,PITTSBURG,CONTRA COSTA COUNTY,CA,94565,GWF Power Systems. L.P. (100%);,,"167,730","12,154",0,0,0,0,0,0,0,0,0,0,0,0,0,Power Plants,
